Eero Saarinen
Eliel Saarinen
Eugen Sacharias
Moshe Safdie
Paul Saintenoy
Rogelio Salmona
Guðjón Samúelsson
João Santa-Rita
Carlos A. Santos-Viola
Louis Sauer
Carlo Scarpa
Hans Scharoun
Rudolph Schindler
Elisabeth Scott
Frederic Schwartz
Paul Schmitthenner
Alexey Shchusev
Margarete Schütte-Lihotzky
Giles Gilbert Scott
Harry Seidler
Richard Seifert
Josep Lluís Sert
Josep Lluis Sert
H. Craig Severance
Hooshang Seyhoun
Vladimir Shukhov
Claudio Silvestrin
Scott Simons
Alvaro Siza
Howard Dwight Smith
George Washington Smith
Alison Smithson
Peter Smithson
Charles B. J. Snyder
Paolo Soleri
Alejandro de la Sota
Eduardo Souto de Moura
Albert Speer
Basil Spence
Johann Otto von Spreckelsen
Sheila Sri Prakash
William L. Steele
Andrew Steiner
Rudolf Steiner
Joseph Allen Stein
Robert A.M. Stern
John Calvin Stevens
James Stirling
Edward Durrell Stone
Walton Danforth Stowell
James Strutt
Joseph Sunlight
Roger Taillibert
Benedetta Tagliabue
Alexander Tamanyan
Kenzo Tange
Bruno Taut
Max Taut
Giuseppe Terragni
Quinlan Terry
Heinrich Tessenow
Benjamin C. Thompson
Edmund von Trompowsky
Horace Trumbauer
Bernard Tschumi
Gilbert Stanley Underwood
Jørn Utzon
Vann Molyvann
François Valentiny
William van Alen
Henry Van de Velde
Henri van Dievoet
Antoine Varlet
Robert Venturi
Miguel Vila Luna
Carlos Raúl Villanueva
Rafael Viñoly
Roland Wank
Paul Waterhouse
Carlo Weber
W. H. Weeks
Carl Westman
Paul Williams
Clough Williams-Ellis
Jan Wils
George J. Wimberly
James Wines
Geoffrey Wooding
Lebbeus Woods
Frank Lloyd Wright
Marcellus E. Wright Sr.
Minoru Yamasaki
F. R. S. Yorke
Jean-François Zevaco
Milan Zloković
Peter Zumthor
Adolfo Moran
Alexandre Chan
Andy Martin
Antonio Citterio
Arif Hasan
Atsushi Kitagawara
Basil Al Bayati
Bernard Khoury
Bjarke Ingels
Robby Cantarutti
Carol Ross Barney
Christina Cho
Christopher Charles Benninger
Craig W. Hartman
Daniel Libeskind
David Adjaye
David M. Harper
David Randall Hertz
Dominique Gauzin-Müller
Dy Proeung
Eric Corey Freed
Erick van Egeraat
Eugene Pandala
Greg Lynn
Gregory Henriquez
Günay Erdem
Hafeez Contractor
Hans Robert Hiegel
Hidetsugu Aneha
Hossein Amanat
Ivan Harbour
James Garrison
Jeanne Gang
Jimenez Lai
Jing Liu
Jun'ya Ishigami
Kamel Mahadin
Kazuyo Sejima
Kees Christiaanse
Keith Griffiths
Kengo Kuma
Kevin Kennon
Lise Anne Couture
Marco Casagrande
Mariam Kamara
Massimiliano Fuksas
Maya Lin
Michael Middleton Dwyer
Michael Green
Michel Abboud
Nabil Gholam
Norman Foster
Odile Decq
Olajumoke Adenowo
Peter Eisenman
Peter Exley
Pouya Khazaeli
Rafiq Azam
Rem Koolhaas
Roger Duffy
Ron Arad
Sean Godsell
Shigeru Ban
Sir Terry Farrell
Sou Fujimoto
Stefano Boeri
Stephan Braunfels
Steven Holl
Sue Courtenay
Sunay Erdem
Tatiana Bilbao
T.J. Gottesdiener
Terence Conran
Thom Mayne
Thomas Doerr
Thomas Herzog
Tom Kundig
Tony Fretton
Toshiko Mori
Toyo Ito
Wiel Arets
William McDonough
Zaha Hadid
Florent Nédélec
Enamul Karim Nirjhar
Samuel Oghale Oboh
Liz Ogbu
Neri Oxman
Satyendra Pakhale
Mustapha Khalid Palash
Bimal Patel
Thomas Phifer
Renzo Piano
Dimitris Potiropoulos
Antoine Predock
Joshua Prince-Ramus
Philippe Rahm
Richard Rogers
Fernando Romero
Lawrence Scarpa
Kazuyo Sejima
Adrian Smith
Galia Solomonoff
Sheila Sri Prakash
Paul Steelman
Marshall Strabala
Sergei Tchoban
Jack Travis
Victor Vechersky
Ross Wimer
Wang Shu
Jörg Stollmann
Wilfried van Winden
Gert Wingardh
Jun Xia
Ken Yeang
Hassan Ragab
Daniel Koehler
Chantal Matar
Daniel Bolojan
Tim Fu
Manas Bhatia
Arturo Tedeschi
Carlos Banon
Qasim Iqbal
William Garner
